"Date/Time","Date/Time","No.1"
"時差:GMT+9:00/夏時間:off","日付のシリアル値(Excel)",""
"","","mV"
"2020-11-19 11:40:00","44154.486111111","15.1"
"2020-11-19 11:45:00","44154.489583333","15.1"
"2020-11-19 11:50:00","44154.493055556","14.9"
"2020-11-19 11:55:00","44154.496527778","15"
"2020-11-19 12:00:00","44154.5","15"
"2020-11-19 12:05:00","44154.503472222","15.1"
"2020-11-19 12:10:00","44154.506944444","15.1"
"2020-11-19 12:14:59","44154.510405093","14.9"
"2020-11-19 12:19:59","44154.513877315","14.9"
"2020-11-19 12:24:59","44154.517349537","15"
"2020-11-19 12:30:00","44154.520833333","15.1"
"2020-11-19 12:34:59","44154.524293981","14.9"
"2020-11-19 12:40:00","44154.527777778","15"
"2020-11-19 12:44:59","44154.531238426","0"
"2020-11-19 12:49:59","44154.534710648","0"
"2020-11-19 12:54:59","44154.53818287","0"
"2020-11-19 13:00:00","44154.541666667","0"
"2020-11-19 13:05:00","44154.545138889","0"
"2020-11-19 13:10:00","44154.548611111","0"
"2020-11-19 13:15:00","44154.552083333","0"
"2020-11-19 13:20:01","44154.55556713","0"
"2020-11-19 13:25:00","44154.559027778","0"
"2020-11-19 13:30:01","44154.562511574","0"
"2020-11-19 13:35:01","44154.565983796","0"
"2020-11-19 13:40:01","44154.569456019","0"
"2020-11-19 13:45:01","44154.572928241","0"
"2020-11-19 13:50:01","44154.576400463","0"
"2020-11-19 13:55:01","44154.579872685","0"
"2020-11-19 14:00:01","44154.583344907","0"
"2020-11-19 14:05:01","44154.58681713","760.8"
"2020-11-19 14:10:01","44154.590289352","780.4"
"2020-11-19 14:15:01","44154.593761574","773.8"
"2020-11-19 14:20:01","44154.597233796","663.6"
"2020-11-19 14:25:01","44154.600706019","896.4"
"2020-11-19 14:30:01","44154.604178241","852.4"
"2020-11-19 14:35:01","44154.607650463","897.2"
"2020-11-19 14:40:01","44154.611122685","820.4"
"2020-11-19 14:45:01","44154.614594907","822.4"
"2020-11-19 14:50:01","44154.61806713","800.2"
"2020-11-19 14:55:01","44154.621539352","857.6"
"2020-11-19 15:00:01","44154.625011574","683"
"2020-11-19 15:05:01","44154.628483796","634.2"
"2020-11-19 15:10:01","44154.631956019","689"
"2020-11-19 15:15:01","44154.635428241","624.4"
"2020-11-19 15:20:01","44154.638900463","701"
"2020-11-19 15:25:01","44154.642372685","710.2"
"2020-11-19 15:30:01","44154.645844907","712.4"
"2020-11-19 15:35:01","44154.64931713","778"
"2020-11-19 15:40:01","44154.652789352","904.4"
"2020-11-19 15:45:01","44154.656261574","1004"
"2020-11-19 15:50:01","44154.659733796","809"
"2020-11-19 15:55:01","44154.663206019","813.8"
"2020-11-19 16:00:01","44154.666678241","825.6"
"2020-11-19 16:05:00","44154.670138889","842.8"
"2020-11-19 16:10:00","44154.673611111","863.2"
"2020-11-19 16:15:00","44154.677083333","817.4"
"2020-11-19 16:20:00","44154.680555556","782"
"2020-11-19 16:25:00","44154.684027778","888.4"
"2020-11-19 16:30:01","44154.687511574","954"
"2020-11-19 16:35:00","44154.690972222","848"
"2020-11-19 16:40:00","44154.694444444","812.8"
"2020-11-19 16:45:00","44154.697916667","835.6"
"2020-11-19 16:50:00","44154.701388889","815.4"
